"id","dept_code","name_en","desc_en","is_active","is_drf","is_internal_service"
"CGC-ISS00","CGC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"CGC-SO0211","CGC","Canada's grain is safe, reliable and marketable and Canadian grain producers are properly compensated for grain deliveries to licensed grain companies","",0,0,0
"CGC-SO1999","CGC","Internal Services","",0,0,1
"CH-SO0221","CH","Canadian artistic expressions and cultural content are created and accessible at home and abroad","",0,0,0
"CH-SO0222","CH","Canadians participate and excel in sport","",0,0,0
"CH-SO0223","CH","Canadians share, express and appreciate their Canadian identity","",0,0,0
"CH-SO1999","CH","Internal Services","",0,0,1
"CHRC-BSA00","CHRC","Engagement and Advocacy","",0,1,0
"CHRC-BSB00","CHRC","Human Rights Complaints","",0,1,0
"CHRC-BSC00","CHRC","Employment Equity Audits","",0,1,0
"CHRC-ISS00","CHRC","Internal Services","",0,1,1
"CHRC-SO0231","CHRC","Equality of opportunity and respect for human rights","",0,0,0
"CHRC-SO1999","CHRC","Internal Services","",0,0,1
"CHRT-SO0241","CHRT","Individuals have access, as determined by the Canadian Human Rights Act and the Employment Equity Act, to fair and equitable adjudication of human rights and employment equity cases that are brought before the Canadian Human Rights Tribunal","",0,0,0
"CHRT-SO1999","CHRT","Internal Services","",0,0,1
"CI-SO0421","CI","Family and humanitarian migration that reunites families and offers protection to the displaced and persecuted","",0,0,0
"CI-SO0422","CI","Managed migration and facilitated travel that promote Canadian interests and protect the health, safety and security of Canadians","",0,0,0
"CI-SO0423","CI","Migration of permanent and temporary residents that strengthens Canada's economy","",0,0,0
"CI-SO0424","CI","Newcomers and citizens participate in fostering an integrated society","",0,0,0
"CI-SO0581","CI","International Commercial and Consular Services for Canadians - Canadians are satisfied with commercial and consular services","",0,0,0
"CI-SO1999","CI","Internal Services","",0,0,1
"CICS-SO0261","CICS","Senior-level intergovernmental conference services are professionally and successfully delivered","",0,0,0
"CICS-SO1999","CICS","Internal Services","",0,0,1
"CIDA-SO0582","CIDA","Reduction in poverty for those living in countries where Canada engages in international development","",0,0,0
"CIDA-SO1999","CIDA","Internal Services","",0,0,1
"CIHR-BUI00","CIHR","Funding Health Research and Training","",1,1,0
"CIHR-ISS00","CIHR","Internal Services","",1,1,1
"CIHR-SO0251","CIHR","Canada is a world leader in the creation, dissemination and application of health research knowledge","",0,0,0
"CIHR-SO0252","CIHR","A world-class health-research enterprise that creates, disseminates and applies new knowledge across all areas of health research","",0,0,0
"CIHR-SO1999","CIHR","Internal Services","",0,0,1
"CIRB-SO0081","CIRB","Effective dispute resolution services that support constructive labour management relations in sectors regulated by the Canada Labour Code and professional relations in sectors regulated by the Status of the Artist Act","",0,0,0
"CIRB-SO1999","CIRB","Internal Services","",0,0,1
"CITT-SO0271","CITT","Fair, timely and transparent disposition of international trade cases, procurement cases and government mandated inquiries within the Tribunal's jurisdiction","",0,0,0
"CITT-SO1999","CITT","Internal Services","",0,0,1
"CLVM-SO0991","CLVM","An urban park dedicated to recreational, tourist and cultural activities that safeguard and promote the Old Port of Montreal's cultural heritage while facilitating public access to the waterfront","",0,0,0
"CMC-SO0291","CMC","Interest in, knowledge of and appreciation and respect for human cultural achievements and human behaviour through collections of historical and cultural objects, exhibitions, programs and research reflecting a Canadian perspective","",0,0,0
"CMHC-SO0091","CMHC","Canada has a stable, competitive and innovative housing system","",0,0,0
"CMHC-SO0092","CMHC","Canadians in need have access to affordable housing","",0,0,0
"CMHC-SO0094","CMHC","Increased availability of safe, affordable housing for Canadians in need, including Aboriginal Canadians","",0,0,0
"CMHC-SO0095","CMHC","The Canadian housing system remains one of the best in the world","",0,0,0
"CMHR-SO0281","CMHR","Enhanced knowledge of human rights, with special but not exclusive reference to Canada, in order to enhance the public's understanding of human rights, to promote respect for others and to encourage reflection and dialogue","",0,0,0
"CMI-SO0301","CMI","Canadians are engaged in building and exploring the stories, themes and history of Canadian immigration as it continues to unfold","",0,0,0
"CMN-SO0311","CMN","Interest in, knowledge of and appreciation and respect for the natural world through collections of natural history objects, public education programmes and research reflecting a special but not exclusive perspective on Canada","",0,0,0
"CNEDA-SO0321","CNEDA","Developed and diversified territorial economies that support prosperity for all Northerners","",0,0,0
"CNEDA-SO1999","CNEDA","Internal Services","",0,0,1
"CNMI-SO0721","CNMI","A safe, reliable, efficient, affordable and environmentally responsible ferry service between the Island of Newfoundland and the Province of Nova Scotia","",0,0,0
"CPC-SO0101","CPC","Compensation for the provision of Parliamentary mail and Materials for the use of the blind services, which are sent free of postage under the Canada Post Corporation Act","",0,0,0
"CPCC-BWX00","CPCC","BWX01","",1,1,0
"CPCC-ISS00","CPCC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"CPCC-SO0341","CPCC","Increased Canadian polar knowledge","",0,0,0
"CPCC-SO0342","CPCC","Canada has world-class Arctic science and technology to support the development and stewardship of Canada's North and is recognized as a leader on circumpolar research issues","",0,0,0
"CPCC-SO1999","CPCC","Internal Services","",0,0,1
"CRTC-SO0351","CRTC","Canadians have access to a world-class communication system","",0,0,0
"CRTC-SO0352","CRTC","Canadians have access to a wide variety of high quality Canadian produced programming and to reliable, affordable and high quality telecommunication services","",0,0,0
"CRTC-SO1999","CRTC","Internal Services","",0,0,1
"CSA-BLM00","CSA","Canada in space","",1,1,0
"CSA-ISS00","CSA","Internal Services","",1,1,1
"CSA-SO0371","CSA","Canada's exploration of space, provision of space services and development of its space capacity meet the nation's needs for scientific knowledge, innovation and information","",0,0,0
"CSA-SO1999","CSA","Internal Services","",0,0,1
"CSC-SO0461","CSC","The custody, correctional interventions, and supervision of offenders in communities and in institutions, contribute to public safety","",0,0,0
"CSC-SO1999","CSC","Internal Services","",0,0,1
"CSEC-SO0441","CSEC","Foreign signals intelligence and technical security capabilities advance and protect Canada's vital interests","",0,0,0
"CSIS-SO0361","CSIS","Intelligence is used to protect the security and safety of Canada and its citizens","",0,0,0
"CT-SO1131","CT","Open, fair, transparent and expeditious hearings related to the Tribunal's jurisdiction","",0,0,0
"CT-SO1999","CT","Internal Services","",0,0,1
"CTA-SO0401","CTA","Transparent, fair and timely dispute resolution and economic regulation of the national transportation system","",0,0,0
"CTA-SO1999","CTA","Internal Services","",0,0,1
"CTAIB-BWA00","CTAIB","Independent safety investigations and communication of risks in the transportation system","",1,1,0
"CTAIB-ISS00","CTAIB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"CTAIB-SO0391","CTAIB","Independent investigations into transportation occurrences contribute to making the transportation system safer","",0,0,0
"CTAIB-SO1999","CTAIB","Internal Services","",0,0,1
"EA-SO0581","EA","International Commercial and Consular Services for Canadians - Canadians are satisfied with commercial and consular services","",0,0,0
"EA-SO0582","EA","Reduction in poverty for those living in countries where Canada engages in international development","",0,0,0
"EA-SO0583","EA","Canada's Network Abroad - The Department maintains a mission network of infrastructure and services to enable the Government of Canada to achieve its international priorities","",0,0,0
"EA-SO0584","EA","Canada's International Agenda - The international agenda is shaped to advance Canadian security, prosperity, interests and values","",0,0,0
"EA-SO0585","EA","International Assistance and Poverty Alleviation - Poverty is reduced, and security and democracy are increased for those living in countries where Canada engages","",0,0,0
"EA-SO1999","EA","Internal Services","",0,0,1
"EC-BGR00","EC","Taking Action on Clean Growth and Climate Change","",1,1,0
"EC-BGS00","EC","Preventing and Managing Pollution","",1,1,0
"EC-BGT00","EC","Conserving Nature","",1,1,0
"EC-BGU00","EC","Predicting Weather and Environmental Conditions","",1,1,0
"EC-ISS00","EC","Internal Services","",1,1,1
"EC-SO0511","EC","Canada's natural environment is conserved and restored for present and future generations","",0,0,0
"EC-SO0512","EC","Canadians are equipped to make informed decisions on changing weather, water and climate conditions","",0,0,0
"EC-SO0513","EC","Threats to Canadians and their environment from pollution are minimized","",0,0,0
"EC-SO1999","EC","Internal Services","",0,0,1
"ECBC-SO0501","ECBC","A competitive and sustainable Cape Breton economy","",0,0,0
"EDC-SO0581","EDC","International Commercial and Consular Services for Canadians - Canadians are satisfied with commercial and consular services","",0,0,0
"ERC-SO1161","ERC","Fair and transparent labour relations decision-making that reinforces accountability","",0,0,0
"FBCL-SO0521","FBCL","Safe and efficient transit on the infrastructure maintained, operated and managed by The Federal Bridge Corporation Limited","",0,0,0
"FCAC-SO0542","FCAC","The rights of financial consumers are protected and the financial literacy of Canadians is strengthened","",0,0,0
"FEDSO-BNM00","FEDSO","Economic Development in Southern Ontario","",1,1,0
"FEDSO-ISS00","FEDSO","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"FEDSO-SO0531","FEDSO","A Competitive Southern Ontario Economy","",0,0,0
"FEDSO-SO1999","FEDSO","Internal Services","",0,0,1
"FIN-BUV00","FIN","Economic and Fiscal Policy","",1,1,0
"FIN-ISS00","FIN","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"FIN-SO0541","FIN","A strong economy and sound public finances for Canadians","",0,0,0
"FIN-SO1999","FIN","Internal Services","",0,0,1
"FJA-BNZ00","FJA","Administrative support to federally appointed judges","",1,1,0
"FJA-ISS00","FJA","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"FJA-SO0431","FJA","An independent and efficient Federal Judiciary","",0,0,0
"FJA-SO1999","FJA","Internal Services","",0,0,1
"FNSI-SO0561","FNSI","First Nations, governments and other interested parties will have accurate, and relevant statistical information and analysis on the fiscal, economic and social conditions of First Nations","",0,0,0
"FO-BTF00","FO","Fisheries","",1,1,0
"FO-BTG00","FO","Aquatic Ecosystems","",1,1,0
"FO-BTH00","FO","Marine Navigation","",1,1,0
"FO-BTI00","FO","Marine Operations and Response","",1,1,0
"FO-ISS00","FO","Internal Services","",1,1,1
"FO-SO0571","FO","Economically Prosperous Maritime Sectors and Fisheries","",0,0,0
"FO-SO0572","FO","Safe and Secure Waters","",0,0,0
"FO-SO0573","FO","Sustainable Aquatic Ecosystems","",0,0,0
"FO-SO1999","FO","Internal Services","",0,0,1
"FORDQ-SO0481","FORDQ","Quebec's regions have a growing economy","",0,0,0
"FORDQ-SO1999","FORDQ","Internal Services","",0,0,1
"FTRAC-BUW00","FTRAC","Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations","",1,1,0
"FTRAC-BUX00","FTRAC","Production and Dissemination of Financial Intelligence","",1,1,0
"FTRAC-ISS00","FTRAC","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"FTRAC-SO0551","FTRAC","A Canadian financial system resistant to money laundering and terrorist financing","",0,0,0
"FTRAC-SO1999","FTRAC","Internal Services","",0,0,1
"GG-SO0591","GG","The Governor General, representing The Queen in Canada, is enabled to fulfill constitutional, state, ceremonial and public duties","",0,0,0
"GG-SO1999","GG","Internal Services","",0,0,1
"GSC-SO1121","GSC","High quality, central programs and services that ensure sound stewardship on behalf of Canadians and meet the program needs of federal institutions","",0,0,0
"GSC-SO1999","GSC","Internal Services","",0,0,1
"H-BVG00","H","BVG16","",1,1,0
"H-BVH00","H","Health Protection and Promotion","",1,1,0
"H-ISS00","H","Internal Services","",1,1,1
"H-SO0611","H","A health system responsive to the needs of Canadians","",0,0,0
"H-SO0612","H","First Nations and Inuit communities and individuals receive health services and benefits that are responsive to their needs so as to improve their health status","",0,0,0
"H-SO0613","H","Health risks and benefits associated with food, products, substances, and environmental factors are appropriately managed and communicated to Canadians","",0,0,0
"H-SO0614","H","Canadians are informed of and protected from health risks associated with food, products, substances and environments, and are informed of the benefits of healthy eating","",0,0,0
"H-SO1999","H","Internal Services","",0,0,1
"HC-SO0621","HC","Effective administrative and professional support for Members, both individually and collectively, in their roles as legislators and representatives of 338 constituencies, in the Chamber, in committee and in caucus","",0,0,0
"HMIRC-SO0601","HMIRC","Chemical trade secrets are protected and required health and safety information in Canadian workplaces is compliant","",0,0,0
"HMIRC-SO1999","HMIRC","Internal Services","",0,0,1
"HRSD-SO0491","HRSD","A skilled, adaptable and inclusive labour force and an efficient labour market","",0,0,0
"HRSD-SO0492","HRSD","Income security, access to opportunities and well-being for individuals, families and communities","",0,0,0
"HRSD-SO0493","HRSD","Safe, fair and productive workplaces and cooperative workplace relations","",0,0,0
"HRSD-SO0494","HRSD","Service Excellence for Canadians","",0,0,0
"HRSD-SO0495","HRSD","Government-Wide Service Excellence","",0,0,0
"HRSD-SO1999","HRSD","Internal Services","",0,0,1
"IDRC-SO0671","IDRC","Stronger capacity in developing countries to research and propose solutions that support sustainable and equitable development and poverty reduction","",0,0,0
"IJC-SO0681","IJC","Prompt and effective prevention and/or resolution of potential disputes under the Boundary Water Treaty and Great Lakes Water Quality Agreement to ensure they have no negative impact on Canada-US relations","",0,0,0
"INAC-SO0641","INAC","The Government - Support good governance, rights and interests of Indigenous Peoples","",0,0,0
"INAC-SO0642","INAC","The Land and Economy - Full participation of First Nations, Métis, Non Status Indians and Inuit individuals and communities in the economy","",0,0,0
"INAC-SO0643","INAC","The North - Self-reliance, prosperity and well-being for the people and communities of the North","",0,0,0
"INAC-SO0644","INAC","The People - Individual, family and community well-being for First Nations and Inuit","",0,0,0
"INAC-SO0645","INAC","The Government – Good governance and co-operative relationships for First Nations, Métis, Non-Status Indians, Inuit and Northerners","",0,0,0
"INAC-SO0646","INAC","Office of the Federal Interlocutor – Socio-economic well-being of Métis, non-status Indians and urban Aboriginal people","",0,0,0
"INAC-SO1999","INAC","Internal Services","",0,0,1
"IPC-BRF00","IPC","Government Transparency","",1,1,0
"IPC-BRG00","IPC","Protection of privacy rights","",1,1,0
"IPC-ISS00","IPC","ISS10","",1,1,1
"IPC-SO0981","IPC","Rights under the Access to Information Act are safeguarded","",0,0,0
"IPC-SO0982","IPC","The privacy rights of individuals are protected","",0,0,0
"IPC-SO1999","IPC","Internal Services","",0,0,1
"IRB-BGC00","IRB","Adjudication of immigration and refugee cases","",1,1,0
"IRB-ISS00","IRB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"IRB-SO0631","IRB","Resolve immigration and refugee cases before the Immigration and Refugee Board of Canada efficiently, fairly and in accordance with the law","",0,0,0
"IRB-SO1999","IRB","Internal Services","",0,0,1
"ISC-SO0661","ISC","Advancements in science and technology, knowledge, and innovation strengthen the Canadian economy","",0,0,0
"ISC-SO0662","ISC","Canadian businesses and communities are competitive","",0,0,0
"ISC-SO0663","ISC","The Canadian marketplace is efficient and competitive","",0,0,0
"ISC-SO1999","ISC","Internal Services","",0,0,1
"JCCB-SO1271","JCCB","Safe and efficient transit on the infrastructure maintained, operated and managed by the Jacques Cartier and Champlain Bridges Incorporated","",0,0,0
"JUS-BNX00","JUS","Legal Services","",1,1,0
"JUS-BNY00","JUS","Justice System Support","",1,1,0
"JUS-ISS00","JUS","Internal Services","",1,1,1
"JUS-SO0691","JUS","A Federal Government that is Supported by High-Quality Legal Services","",0,0,0
"JUS-SO0692","JUS","A fair, relevant and accessible Canadian justice system","",0,0,0
"JUS-SO1999","JUS","Internal Services","",0,0,1
"LAC-SO0701","LAC","Canada's documentary heritage is preserved and accessible to current and future generations","",0,0,0
"LAC-SO0702","LAC","Current government information is managed to support government accountability","",0,0,0
"LAC-SO1999","LAC","Internal Services","",0,0,1
"LP-SO0711","LP","An Informed and Accessible Parliament","",0,0,0
"LP-SO1999","LP","Internal Services","",0,0,1
"MPCC-SO0741","MPCC","The Military Police Complaints Commission (MPCC) ensures that the Canadian Forces Military Police has the highest standard of conduct according to law and police best practices, and is free from interference in its investigations","",0,0,0
"MPCC-SO1999","MPCC","Internal Services","",0,0,1
"NAC-SO0751","NAC","Strong and dynamic performing arts in the National Capital Region and across Canada","",0,0,0
"NBC-SO0761","NBC","The Battlefields Park of Quebec is a prestigious, natural, accessible, safe and educational historic and urban site","",0,0,0
"NBC-SO1999","NBC","Internal Services","",0,0,1
"NCC-SO0771","NCC","Canada's Capital Region is of national significance and is a source of pride for Canadians","",0,0,0
"ND-SO0781","ND","Defence Operations and Services Improve Stability and Security, and Promote Canadian Interests and Values","",0,0,0
"ND-SO0782","ND","Defence Remains Continually Prepared to Deliver National Defence and Defence Services in Alignment with Canadian Interests and Values","",0,0,0
"ND-SO0783","ND","National Defence is ready to meet Government Defence Expectations","",0,0,0
"ND-SO0784","ND","Resources are acquired to meet Government Defence Expectations","",0,0,0
"ND-SO0785","ND","Defence operations improve peace, stability and security wherever deployed","",0,0,0
"ND-SO0786","ND","Care and Support to the Canadian Forces and Contribution to Canadian Society","",0,0,0
"ND-SO1999","ND","Internal Services","",0,0,1
"NEB-BTA00","NEB","Energy Adjudication","",1,1,0
"NEB-BTB00","NEB","Safety and Environment Oversight","",1,1,0
"NEB-BTC00","NEB","Energy Information","",1,1,0
"NEB-BTD00","NEB","Engagement","",1,1,0
"NEB-ISS00","NEB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"NEB-SO0791","NEB","The regulation of pipelines, power lines, energy development and energy trade contributes to the safety of Canadians, the protection of the environment and efficient energy infrastructure and markets, while respecting the rights and interests of those affected by National Energy Board decisions and recommendations","",0,0,0
"NEB-SO1999","NEB","Internal Services","",0,0,1
"NFB-SO0801","NFB","Canadian stories and perspectives are reflected in audiovisual media and accessible to Canadians and the world","",0,0,0
"NFB-SO1999","NFB","Internal Services","",0,0,1
"NGC-SO0811","NGC","Interest in, knowledge of and appreciation and respect for visual art through collections of historic and contemporary works of art, programs and research that reflect a special but not exclusive perspective on Canada","",0,0,0
"NMST-SO0821","NMST","Interest in, knowledge of and appreciation and respect for science and technology through collections of scientific and technological objects, programs and research reflecting a Canadian perspective","",0,0,0
"NPA-SO0871","NPA","The planning and construction of the Canadian portion of the Alaska Highway Gas Pipeline project is efficient and expeditious while ensuring environmental protection and social and economic benefits for Canadians","",0,0,0
"NPA-SO1999","NPA","Internal Services","",0,0,1
"NPB-BUA00","NPB","Conditional Release Decisions","",1,1,0
"NPB-BUB00","NPB","Conditional Release Openness and Accountability","",1,1,0
"NPB-BUC00","NPB","Record Suspension Decisions/Clemency Recommendations","",1,1,0
"NPB-ISS00","NPB","Internal Services","Internal Services are those groups of related activities and resources that the Federal Government considers to be services in support of programs and/or required to meet corporate obligations of an organization. Internal Services refer to the activities and resources of the ten distinct services that support program delivery in the organization, regardless of the Internal Services delivery model in a department as per Section 6.2 of the Guide on Recording and Reporting of Internal Services Expenditures.",1,1,1
"NPB-SO1021","NPB","Conditional release and record suspension decisions and decision processes that safeguard Canadian communities","",0,0,0
"NPB-SO1999","NPB","Internal Services","",0,0,1
"NR-SO0851","NR","Canada's natural resource sectors are globally competitive","",0,0,0
"NR-SO0852","NR","Canadians have information to manage their lands and natural resources, and are protected from related risks","",0,0,0
