id,stable_id,subject_id,name_en,name_fr,doc
PROGRAM-drr18-9,PROGRAM-9,PSEP-BVS03,National security threats are understood and reduced,On comprend les menaces et on prend des mesures pour réduire les menaces à la sécurité nationale,drr18
DR-drr18-10,DR-10,PSEP-BVU00,"Canada can effectively mitigate, prepare for, respond to and recover from all-hazards events","Le Canada peut efficacement atténuer les événements tous risques, s’y préparer, intervenir, le cas échéant, et se rétablir",drr18
PROGRAM-drr18-10,PROGRAM-10,PSEP-BVT01,Crime is prevented and addressed in populations and communities most at-risk,On prévient et on combat la criminalité dans les populations et les collectivités les plus à risque,drr18
DR-drr18-11,DR-11,HRSD-BGM00,Homelessness in Canada is prevented and reduced.,L’itinérance au Canada est prévenue et réduite,drr18
PROGRAM-drr18-11,PROGRAM-11,PSEP-BVT02,"Law enforcement stakeholders and partners use information, research, strategies, frameworks and tools to address policing issues","Les partenaires d’application de la loi et les intervenants utilisent l’information, la recherche, des stratégies, des cadres et des outils pour aborder les questions relatives aux services de police",drr18
DR-drr18-12,DR-12,HRSD-BGM00,"Not for profit organizations, communities and other groups have an enhanced capacity to address a range of social issues such as the social inclusion of people with disabilities, the engagement of seniors and support for children and families.","Les organisations sans but lucratif, les collectivités et les autres groupes ont une capacité accrue pour aborder une gamme de problèmes sociaux, tels que l’inclusion sociale des personnes handicapées, la participation des aînés et le soutien aux enfants et aux familles.",drr18
PROGRAM-drr18-12,PROGRAM-12,PSEP-BVT03,Collaborative relationships with federal partners related to Serious & Organized Crime,Relations de collaboration avec les partenaires fédéraux liés aux crimes graves et au crime organisé,drr18
DR-drr19-12,DR-12,HRSD-BGM00,"Not for profit organizations, communities and other groups have an enhanced capacity to address a range of social issues such as the social inclusion of people with disabilities, the engagement of seniors and support for children and families.","Les organisations sans but lucratif, les collectivités et les autres groupes ont une capacité accrue pour aborder une gamme de problèmes sociaux, tels que l’inclusion sociale des personnes handicapées, la participation des aînés et le soutien aux enfants et aux familles.",drr19
DR-drr20-12,DR-12,HRSD-BGM00,"Not for profit organizations, communities and other groups have an enhanced capacity to address a range of social issues such as the social inclusion of people with disabilities, the engagement of seniors and support for children and families.","Les organisations sans but lucratif, les collectivités et les autres groupes ont une capacité accrue pour aborder une gamme de problèmes sociaux, tels que l’inclusion sociale des personnes handicapées, la participation des aînés et le soutien aux enfants et aux familles.",drr20
DR-dp21-12,DR-12,HRSD-BGM00,"Not for profit organizations, communities and other groups have an enhanced capacity to address a range of social issues such as the social inclusion of people with disabilities, the engagement of seniors and support for children and families.","Les organisations sans but lucratif, les collectivités et les autres groupes ont une capacité accrue pour aborder une gamme de problèmes sociaux, tels que l’inclusion sociale des personnes handicapées, la participation des aînés et le soutien aux enfants et aux familles.",dp21
DR-drr18-13,DR-13,HRSD-BGM00,Community spaces and workplaces are more accessible.,Les espaces communautaires et les milieux de travail sont plus accessibles.,drr18
PROGRAM-drr18-13,PROGRAM-13,PSEP-BVT04,"Develop Policy, legislative and regulatory work related to border policy",Élaborer des politiques et des mesures législatives et réglementaires relatives à la politique frontalière,drr18
DR-drr18-14,DR-14,HRSD-BGM00,Access to early learning and childcare is increased.,Meilleur accès à l’apprentissage et à la garde des jeunes enfants.,drr18
PROGRAM-drr18-14,PROGRAM-14,PSEP-BVT05,Indigenous communities are safe,Les collectivités autochtones sont sûres,drr18
DR-drr19-14,DR-14,HRSD-BGM00,Access to early learning and childcare is increased.,Meilleur accès à l’apprentissage et à la garde des jeunes enfants.,drr19
DR-drr20-14,DR-14,HRSD-BGM00,Access to early learning and childcare is increased.,Meilleur accès à l’apprentissage et à la garde des jeunes enfants.,drr20
DR-dp21-14,DR-14,HRSD-BGM00,Access to early learning and childcare is increased.,Meilleur accès à l’apprentissage et à la garde des jeunes enfants.,dp21
DR-dp22-14,DR-14,HRSD-BGM00,Access to early learning and childcare is increased.,Meilleur accès à l’apprentissage et à la garde des jeunes enfants.,dp22
DR-drr18-15,DR-15,HRSD-BGM00,"Clients receive high quality, timely and efficient services that meet their needs (Social Development).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Développement social).",drr18
PROGRAM-drr18-15,PROGRAM-15,PSEP-BVT06,Victims are informed about services available to them from Correctional Service Canada  and Parole Board of Canada,Les victimes sont informées des services offerts par le Service correctionnel du Canada et par la Commission des libérations conditionnelles du Canada,drr18
DR-drr19-15,DR-15,HRSD-BGM00,"Clients receive high quality, timely and efficient services that meet their needs (Social Development).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Développement social).",drr19
DR-drr20-15,DR-15,HRSD-BGM00,"Clients receive high quality, timely and efficient services that meet their needs (Social Development).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Développement social).",drr20
DR-dp21-15,DR-15,HRSD-BGM00,"Clients receive high quality, timely and efficient services that meet their needs (Social Development).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Développement social).",dp21
DR-dp22-15,DR-15,HRSD-BGM00,"Clients receive high quality, timely and efficient services that meet their needs (Social Development).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Développement social).",dp22
DR-drr18-16,DR-16,HRSD-BGN00,Seniors have income support for retirement.,Les aînés ont du soutien de revenu pour la retraite.,drr18
PROGRAM-drr18-16,PROGRAM-16,PSEP-BVU02,"A whole-of-community approach is used to develop, maintain, and improve preparedness for all-hazard risks","Une approche pancommunautaire est utilisée pour développer, maintenir et améliorer les activités de préparation à l’égard de tous les risques",drr18
DR-drr18-17,DR-17,HRSD-BGN00,People with disabilities and their families have financial support.,Les personnes handicapées et leurs familles ont du soutien financier.,drr18
PROGRAM-drr18-17,PROGRAM-17,PSEP-BVU03,Canada has a comprehensive approach to coordinating response and recovery operations for events affecting the national interest,Le Canada a adopté une approche globale de la coordination des activités d’intervention et de rétablissement à la suite d’événements liés à l’intérêt national,drr18
DR-drr19-17,DR-17,HRSD-BGN00,People with disabilities and their families have financial support.,Les personnes handicapées et leurs familles ont du soutien financier.,drr19
DR-drr20-17,DR-17,HRSD-BGN00,People with disabilities and their families have financial support.,Les personnes handicapées et leurs familles ont du soutien financier.,drr20
DR-dp21-17,DR-17,HRSD-BGN00,People with disabilities and their families have financial support.,Les personnes handicapées et leurs familles ont du soutien financier.,dp21
DR-drr18-18,DR-18,HRSD-BGN00,"Clients receive high quality, timely and efficient services that meet their needs (Pensions and Benefits).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité qui répondent à leurs besoins (Régimes de pension et prestations).",drr18
PROGRAM-drr18-18,PROGRAM-18,PSEP-BVU01,Federal institutions enact mitigative and preventative actions to address risks to Canadians,Les institutions fédérales adoptent des mesures d’atténuation et de prévention afin de faire face aux risques qui pèsent sur les Canadiens,drr18
DR-drr18-19,DR-19,HRSD-BGO00,"Canadians access education, training, and life-long learning supports to gain the skills and work experience they need.","Les Canadiens ont accès à l’éducation, à la formation et à l’apprentissage continu leur permettant d’acquérir les compétences et l’expérience de travail dont ils ont besoin.",drr18
PROGRAM-drr18-19,PROGRAM-19,HRSD-BGM01,Homelessness is prevented and reduced.,Prévention et réduction de l’itinérance.,drr18
DR-drr19-19,DR-19,HRSD-BGO00,"Canadians access education, training, and life-long learning supports to gain the skills and work experience they need.","Les Canadiens ont accès à l’éducation, à la formation et à l’apprentissage continu leur permettant d’acquérir les compétences et l’expérience de travail dont ils ont besoin.",drr19
DR-drr20-19,DR-19,HRSD-BGO00,"Canadians access education, training, and life-long learning supports to gain the skills and work experience they need.","Les Canadiens ont accès à l’éducation, à la formation et à l’apprentissage continu leur permettant d’acquérir les compétences et l’expérience de travail dont ils ont besoin.",drr20
DR-dp21-19,DR-19,HRSD-BGO00,"Canadians access education, training, and life-long learning supports to gain the skills and work experience they need.","Les Canadiens ont accès à l’éducation, à la formation et à l’apprentissage continu leur permettant d’acquérir les compétences et l’expérience de travail dont ils ont besoin.",dp21
DR-dp22-19,DR-19,HRSD-BGO00,"Canadians access education, training, and life-long learning supports to gain the skills and work experience they need.","Les Canadiens ont accès à l’éducation, à la formation et à l’apprentissage continu leur permettant d’acquérir les compétences et l’expérience de travail dont ils ont besoin.",dp22
DR-drr18-20,DR-20,HRSD-BGO00,Canadians participate in an inclusive and efficient labour market.,Les Canadiens participent à un marché du travail inclusif et efficient.,drr18
PROGRAM-drr18-20,PROGRAM-20,HRSD-BGM01,Community-level homelessness priorities are addressed.,Les priorités communautaires relatives à l’itinérance font l’objet de suivis.,drr18
DR-drr19-20,DR-20,HRSD-BGO00,Canadians participate in an inclusive and efficient labour market.,Les Canadiens participent à un marché du travail inclusif et efficient.,drr19
DR-drr20-20,DR-20,HRSD-BGO00,Canadians participate in an inclusive and efficient labour market.,Les Canadiens participent à un marché du travail inclusif et efficient.,drr20
DR-dp21-20,DR-20,HRSD-BGO00,Canadians participate in an inclusive and efficient labour market.,Les Canadiens participent à un marché du travail inclusif et efficient.,dp21
DR-dp22-20,DR-20,HRSD-BGO00,Canadians participate in an inclusive and efficient labour market.,Les Canadiens participent à un marché du travail inclusif et efficient.,dp22
DR-drr18-21,DR-21,HRSD-BGO00,"Canadians receive financial support during employment transitions such as job loss, illness, or maternity/parental leave.","Les Canadiens reçoivent une aide financière durant les transitions d’emplois telle qu'une perte d’emploi, une maladie, ou un congé de maternité/parental.",drr18
PROGRAM-drr18-21,PROGRAM-21,HRSD-BGM01,Housing stability for homeless individuals and those at risk of becoming homeless.,Stabilité du logement pour les sans-abris et les personnes qui risquent de le devenir.,drr18
DR-drr19-21,DR-21,HRSD-BGO00,"Canadians receive financial support during employment transitions such as job loss, illness, or maternity/parental leave.","Les Canadiens reçoivent une aide financière durant les transitions d’emplois telle qu'une perte d’emploi, une maladie, ou un congé de maternité/parental.",drr19
PROGRAM-drr19-21,PROGRAM-21,HRSD-BGM01,Housing stability for homeless individuals and those at risk of becoming homeless.,Stabilité du logement pour les sans-abris et les personnes qui risquent de le devenir.,drr19
DR-drr20-21,DR-21,HRSD-BGO00,"Canadians receive financial support during employment transitions such as job loss, illness, or maternity/parental leave.","Les Canadiens reçoivent une aide financière durant les transitions d’emplois telle qu'une perte d’emploi, une maladie, ou un congé de maternité/parental.",drr20
DR-dp21-21,DR-21,HRSD-BGO00,"Canadians receive financial support during employment transitions such as job loss, illness, or maternity/parental leave.","Les Canadiens reçoivent une aide financière durant les transitions d’emplois telle qu'une perte d’emploi, une maladie, ou un congé de maternité/parental.",dp21
DR-dp22-21,DR-21,HRSD-BGO00,"Canadians receive financial support during employment transitions such as job loss, illness, or maternity/parental leave.","Les Canadiens reçoivent une aide financière durant les transitions d’emplois telle qu'une perte d’emploi, une maladie, ou un congé de maternité/parental.",dp22
DR-drr18-22,DR-22,HRSD-BGO00,More students from low- and middle-income families access and participate in post-secondary education,Un plus grand nombre d’étudiants issus de familles à revenu faible ou moyen ont accès à  et poursuivent des études postsecondaires.,drr18
PROGRAM-drr18-22,PROGRAM-22,HRSD-BGM02,"Not-for-profit organizations have improved services for children & families, people with disabilities and other vulnerable individuals.","Les organismes à but non lucratif ont amélioré les services qu’ils offrent aux enfants et familles, aux personnes handicapées et aux autres personnes vulnérables.",drr18
DR-drr19-22,DR-22,HRSD-BGO00,More students from low- and middle-income families access and participate in post-secondary education,Un plus grand nombre d’étudiants issus de familles à revenu faible ou moyen ont accès à  et poursuivent des études postsecondaires.,drr19
DR-drr20-22,DR-22,HRSD-BGO00,More students from low- and middle-income families access and participate in post-secondary education,Un plus grand nombre d’étudiants issus de familles à revenu faible ou moyen ont accès à  et poursuivent des études postsecondaires.,drr20
DR-drr18-23,DR-23,HRSD-BGO00,"Clients receive high quality, timely and efficient services that meet their needs (Learning, Skills Development and Employment).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Apprentissage, développement des compétences et emploi).",drr18
PROGRAM-drr18-23,PROGRAM-23,HRSD-BGM02,"Increased social inclusion of children & families, people with disabilities and vulnerable individuals.","Inclusion sociale accrue des enfants et familles, des personnes handicapées et des personnes vulnérables.",drr18
DR-drr19-23,DR-23,HRSD-BGO00,"Clients receive high quality, timely and efficient services that meet their needs (Learning, Skills Development and Employment).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Apprentissage, développement des compétences et emploi).",drr19
DR-drr20-23,DR-23,HRSD-BGO00,"Clients receive high quality, timely and efficient services that meet their needs (Learning, Skills Development and Employment).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Apprentissage, développement des compétences et emploi).",drr20
DR-dp21-23,DR-23,HRSD-BGO00,"Clients receive high quality, timely and efficient services that meet their needs (Learning, Skills Development and Employment).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Apprentissage, développement des compétences et emploi).",dp21
DR-dp22-23,DR-23,HRSD-BGO00,"Clients receive high quality, timely and efficient services that meet their needs (Learning, Skills Development and Employment).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Apprentissage, développement des compétences et emploi).",dp22
DR-drr18-24,DR-24,HRSD-BGP00,Workplaces are safe and healthy.,Les milieux de travail sont sécuritaires et sains.,drr18
PROGRAM-drr18-24,PROGRAM-24,HRSD-BGM02,Not-for-profit sector and partners have improved capacity to respond to existing and emerging social issues for target populations.,Le secteur à but non lucratif et les partenaires ont renforcé leur capacité à s’attaquer aux problèmes sociaux existants et émergents touchant les populations cibles.,drr18
DR-drr19-24,DR-24,HRSD-BGP00,Workplaces are safe and healthy.,Les milieux de travail sont sécuritaires et sains.,drr19
PROGRAM-drr19-24,PROGRAM-24,HRSD-BGM02,Not-for-profit sector and partners have improved capacity to respond to existing and emerging social issues for target populations.,Le secteur à but non lucratif et les partenaires ont renforcé leur capacité à s’attaquer aux problèmes sociaux existants et émergents touchant les populations cibles.,drr19
DR-drr20-24,DR-24,HRSD-BGP00,Workplaces are safe and healthy.,Les milieux de travail sont sécuritaires et sains.,drr20
DR-dp21-24,DR-24,HRSD-BGP00,Workplaces are safe and healthy.,Les milieux de travail sont sécuritaires et sains.,dp21
DR-dp22-24,DR-24,HRSD-BGP00,Workplaces are safe and healthy.,Les milieux de travail sont sécuritaires et sains.,dp22
DR-drr18-25,DR-25,HRSD-BGP00,Work conditions are fair and inclusive.,Les conditions de travail sont équitables et inclusives.,drr18
PROGRAM-drr18-25,PROGRAM-25,HRSD-BGM03,Communities have the capacity to address local issues by engaging seniors.,Les collectivités sont en mesure de résoudre les enjeux locaux en mobilisant les aînés.,drr18
DR-drr19-25,DR-25,HRSD-BGP00,Work conditions are fair and inclusive.,Les conditions de travail sont équitables et inclusives.,drr19
PROGRAM-drr19-25,PROGRAM-25,HRSD-BGM03,Communities have the capacity to address local issues by engaging seniors.,Les collectivités sont en mesure de résoudre les enjeux locaux en mobilisant les aînés.,drr19
DR-drr20-25,DR-25,HRSD-BGP00,Work conditions are fair and inclusive.,Les conditions de travail sont équitables et inclusives.,drr20
DR-dp21-25,DR-25,HRSD-BGP00,Work conditions are fair and inclusive.,Les conditions de travail sont équitables et inclusives.,dp21
DR-dp22-25,DR-25,HRSD-BGP00,Work conditions are fair and inclusive.,Les conditions de travail sont équitables et inclusives.,dp22
DR-drr18-111,DR-111,WDO-BNW00,Communities are economically diversified in western Canada.,Les collectivités de l'Ouest canadien sont économiquement diversifiées.,drr18
PROGRAM-drr18-111,PROGRAM-111,OPSIC-BTS01,Public servants and members of the public are aware of the Office and have access to information to make an informed decision about disclosures of wrongdoing and/or complaints of reprisal,Les fonctionnaires et le grand public connaissent le Commissariat et ont accès à l’information nécessaire pour prendre une décision éclairée quant à la divulgation d’actes répréhensibles ou de plaintes de représailles,drr18
DR-drr18-112,DR-112,WDO-BNW00,Businesses invest in the development and commercialization of innovative technologies in western Canada.,Les entreprises de l'Ouest Canadien investissent dans le développement et la commercialisation des technologies.,drr18
PROGRAM-drr18-112,PROGRAM-112,CBSA-BUF01,Targeting contributes to the mitigation of threats to the safety and security of Canadians. ,Le ciblage contribue à l'atténuation des menaces à la sûreté et à la sécurité des Canadiens.,drr18
DR-drr18-113,DR-113,WDO-BNW00,Businesses are innovative and growing in western Canada,Les entreprises de l'Ouest canadien sont innovantes et en croissance.,drr18
PROGRAM-drr18-113,PROGRAM-113,CBSA-BUF02,"The CBSA’s intelligence activities support CBSA programs in the identification and interception of high-risk people, goods, and conveyances that pose a threat to the security of Canadians","Les activités de renseignement de l’ASFC appuient les programmes de détection et d’interception des personnes, des marchandises et des moyens de transport à risque élevé qui représentant une menace à la sécurité des Canadiens",drr18
DR-drr18-26,DR-26,HRSD-BGP00,Labour relations are cooperative.,Les relations de travail sont fondées sur la coopération.,drr18
PROGRAM-drr18-26,PROGRAM-26,HRSD-BGM03,Recipient organizations recognize and address barriers to social inclusion faced by seniors.,Les organismes bénéficiaires sont conscients des obstacles à l’inclusion sociale que les aînés doivent surmonter et s’emploient à les éliminer.,drr18
DR-drr19-26,DR-26,HRSD-BGP00,Labour relations are cooperative.,Les relations de travail sont fondées sur la coopération.,drr19
DR-drr20-26,DR-26,HRSD-BGP00,Labour relations are cooperative.,Les relations de travail sont fondées sur la coopération.,drr20
DR-dp21-26,DR-26,HRSD-BGP00,Labour relations are cooperative.,Les relations de travail sont fondées sur la coopération.,dp21
DR-dp22-26,DR-26,HRSD-BGP00,Labour relations are cooperative.,Les relations de travail sont fondées sur la coopération.,dp22
DR-drr18-27,DR-27,HRSD-BGP00,"Clients receive high quality, timely and efficient services that meet their needs (Working Conditions and Workplace Relations).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Conditions et relations de travail).",drr18
PROGRAM-drr18-27,PROGRAM-27,HRSD-BGM04,Community spaces and workplaces are more accessible.,Les espaces communautaires et les lieux de travail sont plus accessibles.,drr18
DR-drr19-27,DR-27,HRSD-BGP00,"Clients receive high quality, timely and efficient services that meet their needs (Working Conditions and Workplace Relations).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Conditions et relations de travail).",drr19
PROGRAM-drr19-27,PROGRAM-27,HRSD-BGM04,Community spaces and workplaces are more accessible.,Les espaces communautaires et les lieux de travail sont plus accessibles.,drr19
DR-drr20-27,DR-27,HRSD-BGP00,"Clients receive high quality, timely and efficient services that meet their needs (Working Conditions and Workplace Relations).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Conditions et relations de travail).",drr20
PROGRAM-drr20-27,PROGRAM-27,HRSD-BGM04,Community spaces and workplaces are more accessible.,Les espaces communautaires et les lieux de travail sont plus accessibles.,drr20
DR-dp21-27,DR-27,HRSD-BGP00,"Clients receive high quality, timely and efficient services that meet their needs (Working Conditions and Workplace Relations).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Conditions et relations de travail).",dp21
DR-dp22-27,DR-27,HRSD-BGP00,"Clients receive high quality, timely and efficient services that meet their needs (Working Conditions and Workplace Relations).","Les clients reçoivent des services en temps opportun, efficients et de grande qualité, qui répondent à leurs besoins (Conditions et relations de travail).",dp22
DR-drr18-28,DR-28,HRSD-BGQ00,"Clients receive high quality, timely and accurate government information and services that meet their needs.","Les clients reçoivent de l’information et des services du gouvernement en temps opportun, exactes et de grande qualité, qui répondent à leurs besoins.",drr18
PROGRAM-drr18-28,PROGRAM-28,HRSD-BGM05,Access to early learning and child care is increased.,L’accès à l’apprentissage et à la garde des jeunes enfants est accru.,drr18
DR-drr19-28,DR-28,HRSD-BGQ00,"Clients receive high quality, timely and accurate government information and services that meet their needs.","Les clients reçoivent de l’information et des services du gouvernement en temps opportun, exactes et de grande qualité, qui répondent à leurs besoins.",drr19
PROGRAM-drr19-28,PROGRAM-28,HRSD-BGM05,Access to early learning and child care is increased.,L’accès à l’apprentissage et à la garde des jeunes enfants est accru.,drr19
DR-drr20-28,DR-28,HRSD-BGQ00,"Clients receive high quality, timely and accurate government information and services that meet their needs.","Les clients reçoivent de l’information et des services du gouvernement en temps opportun, exactes et de grande qualité, qui répondent à leurs besoins.",drr20
PROGRAM-drr20-28,PROGRAM-28,HRSD-BGM05,Access to early learning and child care is increased.,L’accès à l’apprentissage et à la garde des jeunes enfants est accru.,drr20
DR-dp21-28,DR-28,HRSD-BGQ00,"Clients receive high quality, timely and accurate government information and services that meet their needs.","Les clients reçoivent de l’information et des services du gouvernement en temps opportun, exactes et de grande qualité, qui répondent à leurs besoins.",dp21
PROGRAM-dp21-28,PROGRAM-28,HRSD-BGM05,Access to early learning and child care is increased.,L’accès à l’apprentissage et à la garde des jeunes enfants est accru.,dp21
DR-dp22-28,DR-28,HRSD-BGQ00,"Clients receive high quality, timely and accurate government information and services that meet their needs.","Les clients reçoivent de l’information et des services du gouvernement en temps opportun, exactes et de grande qualité, qui répondent à leurs besoins.",dp22
PROGRAM-dp22-28,PROGRAM-28,HRSD-BGM05,Access to early learning and child care is increased.,L’accès à l’apprentissage et à la garde des jeunes enfants est accru.,dp22
DR-drr18-29,DR-29,HRSD-BGQ00,Canadians can obtain an error-free passport within Canada in a timely manner.,Les Canadiens peuvent obtenir un passeport sans erreur au Canada en temps opportun.,drr18
PROGRAM-drr18-29,PROGRAM-29,HRSD-BGM06,Processing of Parents of Murdered and Missing Children grant by Service Canada to applicants within prescribed timeframe.,Traitement dans les délais prescrits des versements par Service Canada aux demandeurs des mesures de soutien du revenu pour les parents d’enfants assassinés ou disparus.,drr18
DR-drr18-30,DR-30,PSC-BWB00,The public service efficiently hires the workforce of the future that is capable and ready to deliver results for Canadians.,"La fonction publique embauche efficacement l’effectif de l’avenir, qui est apte et prêt à obtenir des résultats pour les Canadiens.",drr18
PROGRAM-drr18-30,PROGRAM-30,HRSD-BGM06,The financial burden on parents of children who are deceased or missing due to a probable Criminal Code offence and who take time away from work to cope with the tragic situation is eased.,Allègement du fardeau financier des parents d’enfants décédés ou disparus en raison d’une infraction probable au Code criminel et qui ont besoin de s’absenter du travail pour composer avec la situation tragique.,drr18
DR-drr18-31,DR-31,PSC-BWB00,The public service reflects Canada’s diversity.,La fonction publique est le reflet de la diversité du Canada.,drr18
PROGRAM-drr18-31,PROGRAM-31,HRSD-BGM06,"Awareness of grant among victims’ service providers, advocates and victims.","Connaissance de la subvention par les fournisseurs de services aux victimes, les défenseurs et les victimes.",drr18
DR-drr18-32,DR-32,PSC-BWB00,Canadians are served by a politically impartial public service.,Les Canadiens reçoivent les services d’une fonction publique impartiale.,drr18
PROGRAM-drr18-32,PROGRAM-32,HRSD-BGN01,Seniors have a basic level of income.,Les personnes âgées ont un niveau de revenu de base.,drr18
DR-drr18-33,DR-33,RCMP-AYO00,The rate and severity level of crime is reduced,Réduction du taux de criminalité et de la gravité des actes criminels.,drr18
PROGRAM-drr18-33,PROGRAM-33,HRSD-BGN01,Financial security among seniors is supported.,La sécurité financière des aînés est soutenue.,drr18
DR-drr18-34,DR-34,RCMP-AYR00,"Technical, forensic, investigative and educational activities support Canada’s law enforcement community","Les activités techniques, judiciaires, de sensibilisation et d’enquêtes soutiennent les services de police au Canada.",drr18
PROGRAM-drr18-34,PROGRAM-34,HRSD-BGN01,Financial security among seniors with low income is supported.,La sécurité financière des personnes âgées à faible revenu est soutenue.,drr18
DR-drr18-35,DR-35,RCMP-HGD00,Police cooperation and support is provided to the international law enforcement community to help create a safer and more stable environment,La police offre sa coopération et son soutien à la communauté internationale d’application de la loi pour aider à créer un environnement plus sûr et d’une stabilité accrue.,drr18
PROGRAM-drr18-35,PROGRAM-35,HRSD-BGN02,Eligible individuals with severe disabilities (and their families/ guardians) open Registered Disability Savings Plans to save for the future.,Les personnes admissibles ayant une invalidité grave (ainsi que leur famille ou leur tuteur) ouvrent un régime enregistré d’épargne invalidité afin d’économiser pour l’avenir.,drr18
DR-drr18-36,DR-36,RCMP-HGD00,Canadian police deployed internationally have the specific skills and knowledge required to carry out their mission/operation,Les policiers canadiens déployés à l’étranger possèdent les habiletés et les connaissances particulières dont ils ont besoin pour mener à bien leur mission ou leur opération.,drr18
PROGRAM-drr18-36,PROGRAM-36,HRSD-BGN03,Individuals and their families have financial security through key life events.,Les individus et leurs familles ont la sécurité financière nécessaire pour traverser les points marquants de la vie.,drr18
DR-drr18-37,DR-37,RCMP-HGE00,The RCMP is a recognized symbol of Canada,La GRC est un symbole du Canada reconnu.,drr18
PROGRAM-drr18-37,PROGRAM-37,HRSD-BGN03,Financial security among seniors is supported.,La sécurité financière des aînés est soutenue.,drr18
DR-drr18-38,DR-38,RCMP-HGF00,Claims and inquiries are processed within established service standards,Les demandes de prestations et les demandes de renseignements sont traitées conformément aux normes de service établies,drr18
PROGRAM-drr18-38,PROGRAM-38,HRSD-BGN03,"Financial Security among people with disabilities, survivors and their families is supported.","La sécurité financière des personnes handicapées, des survivants et de leur famille est soutenue.",drr18
DR-drr18-39,DR-39,CEAA-BGV00,"Science, evidence and fact based environmental assessments resulting in mitigation measures that minimize significant adverse environmental effects.","Des évaluations environnementales fondées sur la science, les faits et les preuves et donnant lieu à des mesures d’atténuation qui permettent de minimiser les effets environnementaux négatifs importants.",drr18
