"URLID","URL_en"
28,"http://www.justice.gc.ca/eng/rp-pr/cp-pm/eval/index.html"
29,"http://www.nrc-cnrc.gc.ca/eng/about/planning_reporting/evaluation/index.html"
30,"http://www.nrcan.gc.ca/evaluation/reports/782"
31,"http://www.nserc-crsng.gc.ca/NSERC-CRSNG/Reports-Rapports/evaluations-evaluations_eng.asp"
32,"http://www.pc.gc.ca/docs/pc/rpts/rve-par/eval_rev_e.asp"
33,"http://www.pch.gc.ca/eng/1343398573651"
34,"http://www.phac-aspc.gc.ca/about_apropos/evaluation/evaluation-eng.php"
35,"http://www.psc-cfp.gc.ca/abt-aps/inev-evin/index-eng.htm"
36,"http://www.publicsafety.gc.ca/cnt/rsrcs/pblctns/index-eng.aspx"
37,"http://www.rcmp-grc.gc.ca/aud-ver/reports-rapports/index-eng.htm"
38,"http://www.sshrc-crsh.gc.ca/about-au_sujet/publications/evaluations-eng.aspx"
39,"http://www.statcan.gc.ca/eng/about/er"
40,"http://www.tbs-sct.gc.ca/ip-pi/reports-rapports/index-eng.asp"
41,"http://www.tpsgc-pwgsc.gc.ca/bve-oae/rapports-reports/index-eng.html"
42,"http://www.veterans.gc.ca/eng/about-us/reports/departmental-audit-evaluation"
43,"http://www.wd-deo.gc.ca/eng/60.asp"
44,"https://www.aadnc-aandc.gc.ca/eng/1100100011247/1100100011248"
45,"https://www.ic.gc.ca/eic/site/ae-ve.nsf/eng/h_00351.html"
46,"https://www.tc.gc.ca/eng/corporate-services/des-reports-150.htm"
47,"canada.pch.gc.ca/eng/1454520330387"
48,"canada.pch.gc.ca/eng/1454704828075"
49,"ciec-ccie.parl.gc.ca/EN/Pages/default.aspx"
50,"en-corporate.canada.travel"
51,"sen.parl.gc.ca/seo-cse/eng/Home-e.html"
52,"www.CanNor.gc.ca"
53,"www.aadnc-aandc.gc.ca"
54,"www.acls-aatc.ca"
55,"www.acoa-apeca.gc.ca"
56,"www.adb.org"
57,"www.admtl.com"
58,"www.aecl.ca"
59,"www.aeroportdequebec.com"
60,"www.afdb.org"
61,"www.agr.gc.ca"
62,"www.ait-aci.ca"
63,"www.asc-csa.gc.ca"
64,"www.asiapacific.ca"
65,"www.atlanticpilotage.com"
66,"www.bac-lac.gc.ca"
67,"www.bankofcanada.ca"
68,"www.bdc.ca"
69,"www.bst-tsb.gc.ca"
70,"www.cadth.ca"
71,"www.cal-ocl.gc.ca"
72,"www.canada.ca/ceaa"
73,"www.canada.ca/en/administrative-tribunals-support-service.html"
74,"www.canada.ca/en/government/publicservice/benefitsmilitary/military-housing.html"
75,"www.canada.ca/en/indigenous-services-canada.html"
76,"www.canada.ca/en/military-grievances-external-review.html"
77,"www.canada.ca/en/parole-board.html"
78,"www.canada.ca/en/polar-knowledge.html"
79,"www.canada.ca/en/treasury-board-secretariat/index.html"
80,"www.canadacouncil.ca"
81,"www.canadagames.ca"
82,"www.canadagames2015.ca"
83,"www.canadapost.ca"
84,"www.caribank.org"
85,"www.cas-satj.gc.ca"
86,"www.catsa.gc.ca"
87,"www.cb-cda.gc.ca"
88,"www.cbc.radio-canada.ca"
89,"www.cbsa.gc.ca"
90,"www.ccbn-nbc.gc.ca"
91,"www.ccc.ca"
92,"www.ccg-gcc.gc.ca/eng/CCG/Home"
93,"www.ccohs.ca"
94,"www.ccsa.ca"
95,"www.cdc-ccl.gc.ca"
96,"www.cdev.gc.ca"
97,"www.cdic.ca"
98,"www.cec.org"
99,"www.ceri.ca"
100,"www.cfhi-fcass.ca"
101,"www.chrc-ccdp.gc.ca"
102,"www.cic.gc.ca"
103,"www.cihi.ca"
104,"www.cihr-irsc.gc.ca"
105,"www.cipo.gc.ca"
106,"www.clc.ca"
107,"www.clrc.ca"
108,"www.cmf-fmc.ca"
109,"www.cmhc.ca"
110,"www.cnlopb.ca"
111,"www.cnsopb.ns.ca"
112,"www.coach.ca"
113,"www.cpma-acpm.agr.gc.ca"
114,"www.cppib.com"
115,"www.cra-arc.gc.ca"
116,"www.crcc-ccetp.gc.ca/"
117,"www.crdsc-sdrcc.ca"
118,"www.crr.ca"
119,"www.crtc.gc.ca"
120,"www.csc-scc.gc.ca"
121,"www.csc-scc.gc.ca/corcan/index-eng.shtml"
122,"www.cse-cst.gc.ca"
123,"www.csiontario.ca/home"
124,"www.csis-scrs.gc.ca"
125,"www.cta-otc.gc.ca"
126,"www.cyqm.ca"
127,"www.dcc-cdc.gc.ca"
128,"www.dec-ced.gc.ca"
129,"www.dfo-mpo.gc.ca"
130,"www.drdc-rddc.gc.ca/en/"
131,"www.ebrd.com"
132,"www.ec.gc.ca"
133,"www.edc.ca"
134,"www.elections.ca"
135,"www.erc-cee.gc.ca"
136,"www.esdc.gc.ca"
137,"www.esdc.gc.ca/eng/jobs/ei/commission/index.shtml"
138,"www.fcac.gc.ca"
139,"www.fcc-fac.ca"
140,"www.fdr.net"
141,"www.feddevontario.gc.ca"
142,"www.federalbridge.ca"
143,"www.fin.gc.ca"
144,"www.fintrac-canafe.gc.ca"
145,"www.fja-cmf.gc.ca"
146,"www.flyeia.com"
147,"www.flylondon.ca"
148,"www.flypei.com"
149,"www.forces.gc.ca"
150,"www.fpcc-cpac.gc.ca"
151,"www.frederictonairport.ca"
152,"www.freshwaterfish.com/"
153,"www.gallery.ca"
154,"www.ganderairport.com"
155,"www.gg.ca"
156,"www.glpa-apgl.com"
157,"www.gnb.ca/4532/index-e.asp"
158,"www.grainscanada.gc.ca"
159,"www.greatlakes-seaway.com"
160,"www.hamiltonport.ca"
161,"www.hc-sc.gc.ca"
162,"www.hiaa.ca"
163,"www.historymuseum.ca"
164,"www.humanrights.ca"
165,"www.iadb.org"
166,"www.ic.gc.ca"
167,"www.ic.gc.ca/eic/site/mc-mc.nsf/eng/home"
168,"www.idrc.ca"
169,"www.ifc.org"
170,"www.ijc.org"
171,"www.imf.org"
172,"www.infoway-inforoute.ca"
173,"www.infrastructure.gc.ca"
174,"www.infrastructure.gc.ca/CIB-BIC/index-eng.html"
175,"www.innovation.ca"
176,"www.inspection.gc.ca"
177,"www.insquebec.org"
178,"www.international.gc.ca"
179,"www.international.gc.ca/international/index.aspx?lang=eng&view=d"
180,"www.investpsp.ca"
181,"www.irb-cisr.gc.ca"
182,"www.ito.ic.gc.ca"
183,"www.jacquescartierchamplain.ca"
184,"www.justice.gc.ca"
185,"www.lastpostfund.ca"
186,"www.lwcb.ca"
187,"www.marine-atlantic.ca"
188,"www.mentalhealthcommission.ca"
189,"www.miga.org"
190,"www.mint.ca"
191,"www.mpcc-cppm.gc.ca"
192,"www.myschool-monecole.gc.ca"
193,"www.nac-cna.ca"
194,"www.nature.ca"
195,"www.naturetrust.bc.ca"
196,"www.navcanada.ca"
197,"www.ncc-ccn.gc.ca"
198,"www.neb-one.gc.ca"
199,"www.npa.ca"
200,"www.npa.gc.ca"
201,"www.nrc-cnrc.gc.ca"
202,"www.nrcan-rncan.gc.ca"
203,"www.nserc-crsng.gc.ca"
204,"www.nuclearsafety.gc.ca"
205,"www.oag-bvg.gc.ca"
206,"www.oci-bec.gc.ca"
207,"www.ocsec-bccst.gc.ca"
208,"www.officiallanguages.gc.ca/en"
209,"www.onf-nfb.gc.ca"
210,"www.osfi-bsif.gc.ca/Eng/"
211,"www.ouranos.ca"
212,"www.p3canada.ca"
213,"www.parl.gc.ca"
214,"www.parl.gc.ca/About/Library/VirtualLibrary"
215,"www.partnershipagainstcancer.ca"
216,"www.patientsafetyinstitute.ca/English/Pages/default.aspx"
217,"www.pbo-dpb.gc.ca/en/"
218,"www.pc.gc.ca"
219,"www.pch.gc.ca"
220,"www.pcmb.ca"
221,"www.pco-bcp.gc.ca"
222,"www.peacebridge.com"
223,"www.pgairport.ca"
224,"www.pgic-iogc.gc.ca/eng/1100110010002"
225,"www.phac-aspc.gc.ca"
226,"www.pier21.ca"
227,"www.pilotagestlaurent.gc.ca"
228,"www.pmprb-cepmb.gc.ca"
229,"www.port-montreal.com"
230,"www.portalberniportauthority.ca"
231,"www.portmetrovancouver.com"
232,"www.portofbelledune.ca"
233,"www.portofhalifax.ca"
234,"www.portofoshawa.ca"
235,"www.portofthunderbay.com"
236,"www.portquebec.ca"
237,"www.portsaguenay.ca"
238,"www.portsi.com"
239,"www.portstoronto.com"
240,"www.porttr.com"
241,"www.portwindsor.com"
242,"www.ppa.gc.ca"
243,"www.ppsc-sppc.gc.ca/"
244,"www.priv.gc.ca *,* www.oic-ci.gc.ca"
245,"www.psc-cfp.gc.ca"
246,"www.psic-ispc.gc.ca"
247,"www.publicsafety.gc.ca"
248,"www.rcmp-grc.gc.ca"
249,"www.rti.ca"
250,"www.rupertport.com"
251,"www.saintjohnairport.com"
252,"www.scc-csc.ca"
253,"www.scc.ca"
254,"www.scics.ca"
255,"www.sdtc.ca"
256,"www.sirc-csars.gc.ca"
257,"www.sjpa.com"
258,"www.sjport.com"
259,"www.ssc.gc.ca"
260,"www.sshrc-crsh.gc.ca"
261,"www.statcan.gc.ca"
262,"www.stjohnsairport.com"
263,"www.swc-cfc.gc.ca"
264,"www.tbairport.on.ca"
265,"www.tc.gc.ca"
266,"www.techno-science.ca"
267,"www.telefilm.ca"
268,"www.terryfoxawards.ca"
269,"www.theforks.com/business/the-forks-north-portage-partnership"
270,"www.toronto2015.org"
271,"www.torontopearson.com"
272,"www.tpsgc-pwgsc.gc.ca"
273,"www.tpsgc-pwgsc.gc.ca/bt-tb/index-eng.html"
274,"www.trudeaufoundation.ca"
275,"www.tv5.ca"
276,"www.veterans.gc.ca"
277,"www.viarail.ca/en"
278,"www.victoriaairport.com"
279,"www.vrab-tacra.gc.ca"
280,"www.waa.ca"
281,"www.wada-ama.org/en"
282,"www.waterfrontoronto.ca"
283,"www.wd-deo.gc.ca"
284,"www.wdbridge.com/"
285,"www.whc.org"
286,"www.winsport.ca"
287,"www.worldbank.org"
288,"www.yow.ca"
289,"www.yqr.ca"
290,"www.yvr.ca"
291,"www.yxe.ca"
292,"www.yyc.com"

